genes,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,"inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part",lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,"cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part",CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,subiculum,subiculum,subiculum,subiculum,subiculum,subiculum,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,putamen,putamen,putamen,putamen,putamen,putamen,habenular nuclei,habenular nuclei,habenular nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla
ADRA2A,0.4554,0.8618,0.4000,-0.0152,0.4844,0.8241,0.6078,0.3973,-0.1212,0.4280,0.6374,0.9031,0.5038,0.6587,0.1798,0.4829,0.6503,0.5739,0.6429,0.5294,0.3585,0.3087,0.3786,0.5591,0.7409,0.5075,0.1716,-0.0200,0.6958,0.8031,0.4603,0.6552,0.1929,0.0965,0.5419,0.7216,0.3719,0.7960,0.3520,0.0020,0.7782,0.7847,0.0572,0.2050,0.3469,0.5603,0.8404,0.4744,0.4713,0.1413,-0.1502,0.4833,0.5727,0.0122,0.2871,0.4698,0.2757,0.8724,0.0489,0.1576,0.0916,0.2831,0.5789,0.8965,0.1589,0.6185,0.1656,0.5466,0.1876,0.5911,0.2191,0.2841,0.0879,-0.1157,-14.726,-0.8830,-0.7807,-13.376,-0.6289,-0.9577,-0.6780,-0.3235,-0.0315,-0.0604,0.0621,-0.7303,0.7350,10.307,16.908,11.585,12.136,0.8916,14.801,17.134,23.561,24.290,16.811,17.506,-10.770,-13.942,-0.9909,-11.307,-10.821,-16.242,-0.7518,-10.968,0.3980,-0.4806,0.4728,-0.0145,-0.4415,-0.7821,-0.6452,-0.2683,0.0308,-0.7141,0.1193,-0.3778,0.2754,0.0473,0.4645,0.1803,0.0928,-0.5065,-0.6707,-0.5558,-0.7515,-0.2981,0.1218,-0.1200,0.6443,-0.2277,0.1921,-0.2109,-13.062,-15.817,-0.7785,-21.206,-16.649,-12.111,-25.403,-22.411,-23.565,-17.344,-21.745,-26.849,-23.147,-21.485,-31.582,-22.452,-29.842,-24.061,-25.409,-17.395,-33.870,-27.098,-25.243,-25.005,-17.969,-21.235,-23.416,-21.590,-19.549,-15.529,-26.402,-20.535,-23.220,-27.973,-25.121,-31.370,-16.838,-18.851,-0.4566,0.5670,0.4050,0.2845,0.2454,10.113,0.8914,-0.3198,0.7844,-0.0923,0.1585,0.3085,12.338,0.4420,0.2073,0.6891,0.5002
ADRA2A,-11.974,-0.8763,-0.7343,-0.1563,-0.2382,-0.3079,-14.457,-0.5282,0.1788,-10.720,0.0061,-10.725,-0.2993,-0.7020,-0.8194,-10.510,-13.209,-13.794,-14.457,-0.7229,0.7168,-0.4741,0.1313,-12.360,-14.457,-0.4801,-0.9873,-0.2980,-0.1488,-0.9416,-0.5539,-0.6251,-0.0175,-0.6912,0.1256,-0.6175,-0.7567,-0.7260,-0.4308,0.1127,-12.545,-0.9626,0.1751,-0.2112,-0.3957,-0.1674,-0.8008,-0.7164,-0.3508,0.0091,-0.0534,0.0779,-11.776,0.0136,-0.4564,0.4263,0.0682,-14.856,0.0585,-0.4434,0.2558,-0.8875,0.2800,15.073,24.987,-0.5503,-0.2264,-12.219,-0.5734,-0.6577,-0.1961,-0.3680,0.2625,-0.1366,-0.2554,10.416,-0.0416,-0.2500,0.3391,0.1018,-0.1648,0.1246,-0.0978,-0.4237,0.0036,0.8767,-0.3925,24.525,-11.043,15.036,-0.3444,-0.3607,-0.9442,-0.2222,-0.3218,0.8347,-0.2174,0.8518,31.538,-0.1383,0.0116,-0.5577,0.2946,-0.2836,0.5148,-0.4907,0.2430,0.4157,0.0482,25.355,-0.8441,0.3494,0.0849,0.9919,-0.1687,-0.7123,-0.7569,0.7325,0.7976,0.0182,-12.493,0.6419,-0.4255,0.9974,0.0310,0.8847,0.2346,0.3697,-0.2553,-0.2623,0.4456,0.5256,0.5429,-0.7988,-0.9686,-0.4918,-10.462,18.676,-0.2062,-0.3996,0.7240,23.389,0.0560,10.095,10.323,34.293,13.584,12.483,-0.0533,-0.0657,28.888,10.558,26.924,27.333,0.4625,48.852,11.719,-0.6540,20.736,-0.2523,0.5744,0.7503,-0.5868,19.092,0.4473,19.700,10.451,0.0293,0.3765,10.857,-10.989,18.184,-12.322,0.0094,0.6410,-0.2132,0.9893,0.2167,-12.034,-0.7271,-0.4820,-0.0240,0.3399,-0.4367,0.2051,-0.5033,-0.1425,0.6394,0.0873
ADRA2A,0.3098,-0.1078,0.1189,-0.3893,0.5842,-0.7216,0.1938,0.1473,0.7330,-0.9501,-0.2142,-0.9809,-0.0677,0.1166,10.135,11.113,0.3095,-0.1893,0.9548,13.027,0.1355,0.1789,0.7054,-0.1239,0.5338,0.7903,0.2105,0.2581,0.1485,-0.4895,0.5563,0.3518,0.7066,0.1691,0.3101,-0.4371,0.2063,-0.2060,0.2043,0.0616,0.3938,-0.8233,0.1885,0.7731,-0.5112,0.3019,-0.6009,0.1905,-0.1346,0.4126,0.2654,-0.0235,-0.6669,-0.7137,-0.4089,-0.3256,-0.1597,-0.6160,-0.1185,0.1019,0.3068,0.5132,0.2846,-0.3928,0.1769,-0.3492,0.8407,0.5933,0.2538,-0.8990,0.7173,0.4410,0.2556,0.7081,13.144,17.299,0.5479,19.331,10.766,12.598,0.9218,20.173,13.717,0.5761,12.579,0.4338,13.538,17.081,13.767,13.953,13.032,13.986,76.339,15.923,11.909,10.664,19.857,18.721,0.9022,10.271,-11.583,0.4423,0.8245,0.8751,11.988,-0.1516,15.525,27.600,10.063,10.652,10.792,11.492,0.9313,22.377,0.8079,11.653,0.6414,14.851,17.841,19.266,20.464,0.3560,0.3655,19.409,-0.5383,23.791,10.590,0.7952,0.7978,13.393,0.4321,16.364,0.7312,0.9234,14.212,11.427,15.548,0.4588,0.7524,0.0954,-0.5064,-0.3884,-10.277,-11.026,-0.9369,0.0009,-0.2350,-18.091,-0.9353,-0.7098,-0.8630,-17.676,0.2962,0.8464,-13.594,0.2450,-0.4230,-0.2340,-0.0773,-0.8445,-12.957,0.7761,-15.282,0.6824,-0.3404,-14.823,-11.429,-0.5605,-10.279,-0.7859,-0.8585,0.2352,0.1956,13.656,0.7938,-0.5491,0.1041,0.7906,0.0205,-0.0527,0.0931,-0.3515,0.4033,-0.7672,0.6904,10.553,-0.1536,0.3734,0.6734
ADRBK2,0.6195,0.7116,0.8361,0.4001,0.8763,0.9685,0.1707,0.6192,13.916,0.5259,0.9630,12.452,0.4220,0.9278,11.109,15.947,0.7171,0.9913,0.2318,0.8607,10.428,0.9844,0.9001,12.875,-0.0360,0.7532,0.9212,10.350,0.6356,11.657,0.2124,0.6488,10.713,0.7809,0.8945,12.477,0.5070,0.5788,0.9610,13.605,0.6927,11.372,12.489,10.458,0.9650,10.123,13.623,0.5944,0.8184,13.093,14.572,0.7992,12.789,11.518,14.817,0.7365,0.7644,10.168,0.7337,0.8393,0.9834,0.6654,0.8432,11.534,0.7539,0.7013,14.986,0.5798,10.316,11.854,0.9924,0.9323,14.000,12.059,15.503,11.802,12.529,11.025,13.842,12.855,20.562,22.844,25.235,25.551,21.897,28.521,16.933,20.146,26.330,23.349,15.601,24.666,12.738,17.659,19.962,19.268,11.248,19.873,12.344,0.8822,11.635,0.7566,12.816,11.018,0.4563,0.7577,10.332,11.512,10.327,0.7360,14.729,0.5814,14.204,25.230,15.546,10.742,10.893,0.0710,0.3175,0.8775,10.632,0.0294,11.947,-0.5705,-0.3074,-0.4750,-0.9836,-15.372,-0.5878,-0.2320,10.095,0.7406,0.1769,0.0073,15.354,0.9282,16.323,17.105,12.247,11.318,-13.722,-12.763,-12.610,-13.409,-13.180,-13.830,-14.211,-12.104,-14.150,-16.688,-10.636,-15.670,-0.8567,-0.2109,-12.315,-14.207,-18.938,-17.826,-0.0162,-0.3103,-10.191,-10.764,-0.6078,-0.7078,-12.461,-11.230,-12.872,-14.387,-13.590,-15.634,-16.723,-18.441,-0.7095,-0.5594,-0.6337,0.2832,-0.7553,-12.006,-0.4995,-0.8994,-0.3907,-12.124,-12.126,-12.491,-10.690,-0.5737,-0.4623,-0.7351,-12.221
ADRBK2,0.2383,10.899,0.9371,0.6705,0.6956,0.9586,0.5956,0.8987,14.642,0.5228,0.9031,12.318,0.5696,10.405,11.496,16.168,0.8123,0.9747,0.5140,10.285,11.471,10.500,0.6437,12.773,0.4229,0.9610,0.9918,0.8732,0.4725,11.632,0.4241,10.930,12.061,0.8319,0.7303,11.785,0.5587,0.8986,0.9892,14.756,0.5343,11.165,13.870,13.302,0.7597,0.8239,12.702,0.6705,0.8593,14.181,15.159,0.4533,12.327,18.125,14.632,0.8399,0.5447,11.764,0.5799,10.683,10.574,0.6482,0.7407,10.775,10.560,0.7936,15.095,0.5320,0.7338,13.231,10.507,11.428,13.561,12.696,18.721,10.159,12.767,10.570,14.045,12.872,20.762,17.770,23.539,20.002,19.743,22.853,27.353,13.379,22.389,19.276,12.454,20.653,24.886,11.683,23.130,18.527,0.9095,16.465,15.394,0.6085,0.8818,0.6758,10.259,11.399,0.5448,0.1442,0.9862,0.9710,0.6255,0.2797,21.665,0.1972,13.158,12.301,10.427,0.7595,26.084,-0.2197,-0.3522,0.1124,0.4236,-0.0889,15.652,-10.881,-0.3554,-10.320,-0.9341,-0.9752,-0.3858,-0.7696,0.7070,0.7583,0.2425,0.0561,22.860,0.8651,14.309,0.8879,0.7079,0.5854,-17.809,-14.062,-12.072,-12.552,-14.328,-11.581,-16.625,-13.765,-12.625,-14.406,-0.8504,-13.703,-11.431,-0.3794,-12.412,-13.810,-21.559,-16.983,-0.5178,-0.2895,-0.6425,-13.108,-0.3582,-0.7627,-15.551,-11.893,-14.241,-15.715,-13.420,-17.230,-11.013,-22.324,-0.6784,-0.2758,-10.451,0.0098,-10.349,-12.933,-0.9295,-0.9669,-0.1288,-16.901,-13.523,-0.8198,-16.679,-0.3535,-0.7253,-11.732,-14.478
ADRBK2,11.275,-0.1507,0.4579,-0.0078,0.6636,0.4118,-0.3695,-0.1458,0.9433,-0.3058,0.2967,0.5852,0.2626,0.3333,0.7351,0.5893,0.1811,0.6355,-0.1738,0.2127,0.6039,0.5903,0.7527,0.4488,-0.3250,0.1280,0.5356,0.6657,0.2156,0.6656,-0.1378,-0.0721,0.6514,0.4925,0.6621,0.7596,0.1808,-0.3413,0.5457,0.6701,-0.4760,0.6408,0.5161,0.6629,0.4144,0.6569,0.8160,0.2998,0.0801,0.8999,0.8145,0.7535,0.7344,0.0084,0.8460,0.0070,0.7005,0.2707,0.0537,-0.0156,0.5543,0.1716,0.3719,0.5925,0.2037,-0.1801,0.9402,0.0695,0.8295,0.6768,0.6093,0.1141,0.9557,0.8370,19.991,21.353,15.322,19.022,18.439,21.545,27.525,31.187,30.320,31.428,30.519,31.741,24.829,28.125,27.967,29.358,21.440,31.065,22.039,24.045,19.515,23.319,18.142,26.877,16.455,16.047,13.665,10.998,16.368,18.389,14.741,0.9587,15.923,24.061,14.323,19.418,21.151,13.626,19.080,30.873,13.224,12.600,21.693,0.5663,0.8789,15.431,0.7441,0.5285,17.130,-0.2429,-0.4244,0.4741,-0.5387,-0.6737,-0.0520,0.3064,13.427,13.953,10.880,0.7404,18.957,19.492,14.435,20.307,0.9128,0.7540,-15.003,-21.058,-10.485,-15.170,-19.460,-11.447,-16.955,-19.256,-16.938,-17.912,-16.702,-21.313,-14.584,0.5199,-15.206,-10.731,-15.009,-12.103,-0.3110,-0.5064,-0.9760,0.1209,-10.784,-0.6702,-15.318,-23.400,-13.404,-15.530,-18.082,-13.804,-0.8135,-0.2315,0.2898,-0.6407,0.1154,11.357,0.0924,-0.7998,-0.8284,-0.1638,-0.3162,-0.3931,-0.2569,-15.829,-0.6694,0.0276,0.2403,0.1984,-0.2701
AVPR1A,36.768,0.2441,11.309,-0.4966,0.9857,0.4212,0.3423,-0.1178,0.5748,0.1879,15.560,0.5182,-0.2166,0.2938,10.129,0.4235,0.9239,-0.1130,0.3913,-0.8703,0.4386,0.5920,15.299,0.9457,16.400,0.0617,0.9528,0.9398,16.392,0.8673,0.2203,-0.5979,0.4249,0.0723,0.7451,0.5910,-0.2227,-0.4946,10.713,0.7965,-0.8717,0.1428,-0.0096,11.058,-0.2682,0.9525,10.307,-0.1436,-0.4322,0.2116,-0.1804,28.629,0.6584,-0.7650,0.9372,0.1268,0.5839,-0.1205,0.0199,12.447,0.6927,-0.6580,0.4252,13.332,-0.6261,-0.0850,0.8981,-0.2258,0.9012,0.5559,0.2813,-0.2432,10.910,16.443,-0.4795,-10.279,-0.5131,-0.3221,0.5606,0.1185,16.223,0.2369,-0.2731,0.8313,0.2579,-0.7337,0.9348,16.923,-0.2285,17.605,13.001,0.6393,15.891,38.005,-0.5395,32.979,30.192,21.313,0.4507,-10.521,11.445,0.5214,-0.1442,-0.3068,-0.3497,-0.6926,-0.6202,-0.3106,-0.9185,-0.1238,-0.3955,-0.4241,0.1111,0.4008,-0.8179,-0.8058,-0.5350,17.947,-0.2756,-0.4578,0.5636,0.1315,31.113,19.796,18.576,13.914,17.212,37.555,11.382,30.077,0.0417,-0.0363,0.7903,0.4884,0.4701,-0.1061,-0.8241,-0.1207,-0.6829,0.7816,-11.562,-0.7530,-0.7702,0.3368,-0.9491,-0.7827,-0.8235,-0.9359,-0.8255,-0.4622,-0.9826,-0.8404,-0.7044,-0.7419,-0.0999,-0.6925,-0.8004,-0.4106,0.5724,-0.9503,-0.3987,-0.0312,-0.9462,-0.1064,-0.8469,-10.233,-0.2282,-0.7434,-0.9894,-0.8364,-15.769,0.3936,-0.8551,-0.5260,-0.8276,-0.6042,-0.9410,0.3367,-13.629,-0.8645,-0.9104,-0.8432,-0.3991,-0.8005,-0.5906,-0.4573,-0.6693,-0.6798,-0.2899
AVPR1A,-0.6052,0.2969,0.7467,13.187,0.8341,0.3695,-0.5905,10.650,0.1617,11.028,14.127,0.2518,0.2658,-0.3054,0.5414,-0.6742,15.860,0.2654,-0.6818,-0.2271,-0.4039,0.3020,26.389,-0.3098,-13.636,0.2786,0.7509,13.170,0.9125,16.023,-0.7988,0.1789,-0.0221,10.112,0.5901,0.4721,-0.0338,-0.2487,-0.1987,-0.0800,-15.121,11.610,-0.5885,-0.1511,-0.6905,0.5700,0.6318,-0.1716,-0.1572,-0.2750,0.5182,0.4155,0.3944,-0.8072,-0.5565,-0.0180,13.017,-0.9437,-0.2814,-0.0193,-0.4970,0.7495,0.6572,11.727,-0.9488,0.5666,0.0341,-0.3070,-0.1988,0.4487,-0.4969,-0.5157,0.2340,0.5419,0.5652,0.0074,0.3784,-0.4441,-10.658,-0.3256,-0.1770,0.7810,16.921,22.928,-0.0930,-0.5588,14.867,0.8407,17.934,12.505,16.483,-10.199,10.324,22.377,34.452,16.514,28.645,10.904,0.7476,0.3680,-0.8199,0.2209,0.8677,-0.5427,22.610,0.4968,-0.8129,0.0520,-12.773,-0.8651,0.6206,0.1455,30.232,0.7456,-0.0375,-11.597,0.8533,10.338,-0.6133,18.799,15.823,0.8639,12.072,-0.4892,0.8434,20.347,-0.1481,28.595,-0.1928,0.7251,-0.3641,0.6976,-13.424,-0.1319,-12.263,-0.9227,0.3736,0.1728,-0.5807,0.4180,-14.082,0.1958,-0.6925,17.009,-0.7856,-12.687,-0.5640,0.2085,-0.8834,-0.1495,-11.799,-0.3047,-0.2228,0.0265,-0.4993,-0.2316,0.1151,-0.7169,-0.4607,-0.5336,-0.5399,0.6467,-0.3682,-11.704,-0.8333,-10.417,-0.2120,-0.2194,-10.272,-0.5632,-20.961,18.372,-13.300,-11.791,0.1455,-0.6514,0.4052,-0.5142,-17.286,-15.216,-0.9932,-0.9861,-0.5788,-11.009,-0.2058,-0.6525,-0.7939,-0.9524,-0.5068
AVPR1A,22.191,15.301,0.9983,0.7799,0.3937,0.7353,18.511,0.6045,0.0983,-0.5593,37.535,12.179,47.937,-0.4989,0.8989,-0.3675,0.1749,11.934,-10.778,-0.1228,0.4950,-0.1515,-0.7105,13.447,13.885,-0.4920,14.245,-0.0861,14.868,11.273,0.9442,-0.7861,0.0039,0.6384,0.3190,0.8261,0.2867,0.2897,0.6569,-0.3547,24.159,11.485,-0.5147,0.7247,-12.050,0.7768,0.4102,0.4199,-0.0333,-0.1073,-0.0462,-0.3573,11.042,-10.035,0.0841,0.1176,-0.3150,-0.3676,0.1727,-0.1715,0.7514,0.6059,12.894,-0.9018,-0.7838,0.1780,-0.1848,-0.9213,0.6334,12.749,-0.1384,-0.0955,0.7383,-0.6216,-11.843,-0.1661,-0.4878,0.6150,-0.2655,0.9040,-0.7570,-0.4407,-0.9437,0.5808,0.2431,0.5393,-0.8490,0.0630,-10.640,0.8895,11.162,13.034,0.0292,23.614,13.278,23.048,21.157,0.8612,-0.5377,-11.319,-10.531,11.809,0.4273,0.7315,-0.2116,0.0582,-0.3705,12.423,-0.9601,22.582,-0.6273,-0.7725,-0.5017,0.7657,0.5884,0.2689,-0.0009,17.722,-0.2005,0.2034,-17.801,0.4059,0.8190,18.220,-0.1358,29.491,22.209,24.989,-0.6406,12.261,0.7136,0.6731,-0.1771,12.223,-0.2170,0.0570,-0.2413,42.989,-13.736,0.2823,-0.9080,-0.7260,-0.6152,25.669,-0.4921,-0.9112,-0.8164,-0.6557,21.369,0.1674,-11.321,-10.082,-0.5537,-10.480,-0.8547,-0.8369,-0.0507,0.0602,-0.8821,-10.708,28.584,0.5150,-12.036,0.3961,-12.254,-0.9118,0.3176,-0.6205,-0.8493,-0.5839,-13.535,0.9332,-13.437,-0.6926,0.6326,-10.780,-0.8497,10.580,-11.577,-20.619,0.8955,0.6419,0.0399,19.920,56.741,-0.1996,-0.0745,-0.7238,-0.0367
AVPR1B,-10.986,-0.4511,-0.1785,-0.1262,-0.3803,0.9352,-0.4783,0.0742,-0.1696,-0.0308,-0.7269,41.554,0.9909,-0.2871,-10.271,-0.0242,-10.532,-0.7723,-0.7711,-0.5634,-0.7306,-0.5118,-0.9132,11.916,0.3931,-0.2265,0.9020,-0.7204,-0.6029,-10.240,-0.1760,0.4170,0.3233,-0.7735,-0.5025,0.7106,0.3645,0.3092,12.336,-0.3146,-13.619,0.3719,-0.2160,-0.4817,-0.0883,-0.3746,0.3447,0.9980,0.1316,0.5241,-0.4477,15.803,-11.052,-0.6640,-0.1222,-0.4287,0.0611,0.3294,-0.1205,-0.7340,0.2045,-0.0787,-0.0173,0.3265,-0.7274,0.0407,-14.542,-0.5159,-0.5276,0.1638,-0.4922,-0.2820,0.0114,-0.7493,18.539,0.4932,-0.6468,0.8492,-0.4433,10.243,-0.5997,0.5061,-0.7553,-0.2196,14.639,-0.3575,-0.6999,0.8076,-10.948,-0.2132,0.2523,10.786,0.4913,0.0087,15.082,-0.8305,0.0148,0.2703,11.508,12.127,-11.683,-0.9054,-0.1963,0.4656,-0.0074,0.9116,-0.3570,15.937,-0.3835,30.372,-0.0529,0.4127,-0.6315,22.841,-0.9367,17.786,21.893,11.701,-0.3057,0.4943,-17.552,0.8092,-0.4986,-0.9361,-0.4255,18.735,-0.0449,-0.5875,-0.4566,0.3089,-0.4133,11.476,-0.3697,0.3152,-0.5356,0.8848,0.7023,13.394,-0.8591,21.313,-10.291,-0.3316,-0.4111,-10.325,-0.7339,0.2380,-0.8507,0.7314,-0.7373,0.1761,-10.758,-0.0376,-0.3884,0.4566,-0.4813,0.0344,0.2960,22.564,-0.6910,-12.038,-0.1709,23.891,-10.889,0.4132,-0.7938,0.8844,0.3557,-0.3294,0.2459,-0.3306,-14.296,0.9219,20.577,-0.4385,-0.0458,-12.997,-0.2505,0.9539,-11.273,0.0470,-11.770,-0.8852,-0.4670,-0.0503,-0.9291,0.3235,-0.8010,0.2009,-0.6731
